Year,Country,Medals
1996,Tonga,1
1996,Tunisia,1
1996,Uganda,1
1996,Zambia,1
2000,USA,91
2000,Russia,89
2000,Australia,58
2000,China,58
2000,Germany,56
2000,France,38
2000,Italy,34
2000,Cuba,29
2000,South Korea,28
2000,UK,28
2000,Romania,26
2000,Netherlands,25
2000,Ukraine,23
2000,Japan,18
2000,Belarus,17
2000,Hungary,17
2000,Canada,14
2000,Poland,14
2000,Bulgaria,13
2000,Greece,13
2000,Brazil,12
2000,Sweden,12
2000,Spain,11
2000,Norway,10
2000,Jamaica,9
2000,Switzerland,9
2000,Czech Republic,8
2000,Ethiopia,8
2000,Kazakhstan,7
2000,Kenya,7
2000,Denmark,6
2000,Georgia,6
2000,Indonesia,6
2000,Mexico,6
2000,Algeria,5
2000,Belgium,5
2000,Lithuania,5
2000,Morocco,5
2000,Slovakia,5
2000,South Africa,5
2000,Taiwan,5
2000,Turkey,5
2000,Argentina,4
2000,Finland,4
2000,Iran,4
2000,New Zealand,4
2000,North Korea,4
2000,Uzbekistan,4
2000,Austria,3
2000,Azerbaijan,3
2000,Bahamas,3
2000,Estonia,3
2000,Latvia,3
2000,Nigeria,3
2000,Serbia,3
2000,Thailand,3
2000,Costa Rica,2
2000,Croatia,2
2000,Moldova,2
2000,Portugal,2
2000,Saudi Arabia,2
2000,Slovenia,2
2000,Trinidad,2
2000,Armenia,1
2000,Barbados,1
2000,Cameroon,1
2000,Chile,1
2000,Colombia,1
2000,Iceland,1
2000,India,1
2000,Ireland,1
2000,Israel,1
2000,Kuwait,1
2000,Kyrgyzstan,1
2000,Macedonia,1
2000,Mozambique,1
2000,Qatar,1
2000,Sri Lanka,1
2000,Uruguay,1
2000,Vietnam,1
2004,USA,101
2004,Russia,90
2004,China,64
2004,Australia,50
2004,Germany,49
2004,Japan,37
2004,France,33
2004,Italy,32
2004,South Korea,30
2004,UK,30
2004,Cuba,27
2004,Netherlands,22
2004,Ukraine,22
2004,Spain,20
2004,Romania,19
2004,Hungary,17
2004,Greece,16
2004,Belarus,13
2004,Bulgaria,12
2004,Canada,12
2004,Turkey,11
2004,Brazil,10
2004,Poland,10
2004,Czech Republic,9
2004,Denmark,8
2004,Kazakhstan,8
2004,Thailand,8
2004,Austria,7
2004,Ethiopia,7
2004,Kenya,7
2004,Sweden,7
2004,Argentina,6
2004,Iran,6
2004,Norway,6
2004,Slovakia,6
2004,South Africa,6
2004,Azerbaijan,5
2004,Croatia,5
2004,Egypt,5
2004,Jamaica,5
2004,New Zealand,5
2004,North Korea,5
2004,Switzerland,5
2004,Taiwan,5
2004,Uzbekistan,5
2004,Georgia,4
2004,Indonesia,4
2004,Latvia,4
2004,Mexico,4
2004,Slovenia,4
2004,Belgium,3
2004,Chile,3
2004,Estonia,3
2004,Lithuania,3
2004,Morocco,3
2004,Portugal,3
2004,Zimbabwe,3
2004,Bahamas,2
2004,Colombia,2
2004,Finland,2
2004,Israel,2
2004,Nigeria,2
2004,Serbia,2
2004,Venezuela,2
2004,Cameroon,1
2004,Dominican Republic,1
2004,Eritrea,1
2004,India,1
2004,Mongolia,1
2004,Paraguay,1
2004,Syria,1
2004,Trinidad,1
2004,United Arab Emirates,1
2008,USA,110
2008,China,100
2008,Russia,72
2008,UK,48
2008,Australia,46
2008,France,41
2008,Germany,41
2008,South Korea,31
2008,Italy,27
2008,Ukraine,27
2008,Japan,25
2008,Cuba,24
2008,Canada,19
2008,Belarus,18
2008,Spain,18
2008,Brazil,16
2008,Netherlands,16
2008,Kenya,15
2008,Kazakhstan,13
2008,Hungary,10
2008,Poland,10
2008,Jamaica,9
2008,New Zealand,9
2008,Norway,9
2008,Romania,8
2008,Azerbaijan,7
2008,Denmark,7
2008,Ethiopia,7
2008,Switzerland,7
2008,Turkey,7
2008,Argentina,6
2008,Armenia,6
2008,Czech Republic,6
2008,Georgia,6
2008,North Korea,6
2008,Slovakia,6
2008,Uzbekistan,6
2008,Bulgaria,5
2008,Croatia,5
2008,Indonesia,5
2008,Lithuania,5
2008,Slovenia,5
2008,Sweden,5
2008,Finland,4
2008,Greece,4
2008,Mongolia,4
2008,Nigeria,4
2008,Taiwan,4
2008,Thailand,4
2008,Zimbabwe,4
2008,Austria,3
2008,India,3
2008,Ireland,3
2008,Latvia,3
2008,Mexico,3
2008,Serbia,3
2008,Algeria,2
2008,Bahamas,2
2008,Belgium,2
2008,Colombia,2
2008,Dominican Republic,2
2008,Estonia,2
2008,Iran,2
2008,Kyrgyzstan,2
2008,Morocco,2
2008,Portugal,2
2008,Tajikistan,2
2008,Trinidad,2
2008,Afghanistan,1
2008,Cameroon,1
2008,Chile,1
2008,Ecuador,1
2008,Egypt,1
2008,Iceland,1
2008,Israel,1
2008,Malaysia,1
2008,Mauritius,1
2008,Moldova,1
2008,Panama,1
2008,Singapore,1
2008,South Africa,1
2008,Sudan,1
2008,Togo,1
2008,Tunisia,1
2008,Venezuela,1
2008,Vietnam,1
2012,USA,103
2012,China,89
2012,Russia,82
2012,UK,65
2012,Germany,44
2012,Japan,38
2012,Australia,35
2012,France,35
2012,Italy,28
2012,South Korea,28
2012,Netherlands,20
2012,Ukraine,20
2012,Canada,18
2012,Hungary,18
2012,Brazil,17
2012,Spain,17
2012,Cuba,14
2012,Kazakhstan,13
2012,New Zealand,13
2012,Belarus,12
2012,Iran,12
2012,Jamaica,12
2012,Kenya,11
2012,Azerbaijan,10
2012,Czech Republic,10
2012,Poland,10
2012,Denmark,9
2012,Romania,9
2012,Colombia,8
2012,Sweden,8
2012,Ethiopia,7
2012,Georgia,7
2012,Mexico,7
2012,Croatia,6
2012,India,6
2012,North Korea,6
2012,South Africa,6
2012,Ireland,5
2012,Lithuania,5
2012,Mongolia,5
2012,Turkey,5
2012,Argentina,4
2012,Norway,4
2012,Serbia,4
2012,Slovakia,4
2012,Slovenia,4
2012,Switzerland,4
2012,Trinidad,4
2012,Armenia,3
2012,Belgium,3
2012,Finland,3
2012,Thailand,3
2012,Tunisia,3
2012,Uzbekistan,3
2012,Bulgaria,2
2012,Dominican Republic,2
2012,Egypt,2
2012,Estonia,2
2012,Greece,2
2012,Indonesia,2
2012,Latvia,2
2012,Malaysia,2
2012,Moldova,2
2012,Puerto Rico,2
2012,Qatar,2
2012,Singapore,2
2012,Taiwan,2
2012,Afghanistan,1
2012,Algeria,1
2012,Bahamas,1
2012,Bahrain,1
2012,Botswana,1
2012,Cyprus,1
2012,Gabon,1
2012,Grenada,1
2012,Guatemala,1
2012,Kuwait,1
2012,Montenegro,1
2012,Morocco,1
2012,Portugal,1
2012,Saudi Arabia,1
2012,Tajikistan,1
2012,Uganda,1
2012,Venezuela,1
2016,USA,121
2016,China,70
2016,UK,67
2016,Russia,56
2016,France,42
2016,Germany,42
2016,Japan,41
2016,Australia,29
2016,Italy,28
2016,Canada,22
2016,South Korea,21
2016,Brazil,19
2016,Netherlands,19
2016,Azerbaijan,18
2016,Kazakhstan,18
2016,New Zealand,18
2016,Spain,17
2016,Denmark,15
2016,Hungary,15
2016,Kenya,13
2016,Uzbekistan,13
2016,Cuba,11
2016,Jamaica,11
2016,Poland,11
2016,Sweden,11
2016,Ukraine,11
2016,Croatia,10
2016,Czech Republic,10
2016,South Africa,10
2016,Belarus,9
2016,Colombia,8
2016,Ethiopia,8
2016,Iran,8
2016,Serbia,8
2016,Turkey,8
2016,Georgia,7
2016,North Korea,7
2016,Switzerland,7
2016,Belgium,6
2016,Greece,6
2016,Thailand,6
2016,Malaysia,5
2016,Mexico,5
2016,Argentina,4
2016,Armenia,4
2016,Lithuania,4
2016,Norway,4
2016,Romania,4
2016,Slovakia,4
2016,Slovenia,4
2016,Bulgaria,3
2016,Egypt,3
2016,Indonesia,3
2016,Taiwan,3
2016,Tunisia,3
2016,Venezuela,3
2016,Algeria,2
2016,Bahamas,2
2016,Bahrain,2
2016,India,2
2016,Individual Olympic Athletes,2
2016,Ireland,2
2016,Israel,2
2016,Ivory Coast,2
2016,Mongolia,2
2016,Vietnam,2
2016,Austria,1
2016,Burundi,1
2016,Dominican Republic,1
2016,Estonia,1
2016,Fiji,1
2016,Finland,1
2016,Grenada,1
2016,Jordan,1
2016,Kosovo,1
2016,Morocco,1
2016,Niger,1
2016,Nigeria,1
2016,Philippines,1
2016,Portugal,1
2016,Puerto Rico,1
2016,Qatar,1
2016,Singapore,1
2016,Tajikistan,1
2016,Trinidad,1
2016,United Arab Emirates,1
